gen,min,avg,max,mejor
0,0.004937343222966143,0.48560043190089647,0.8596994129267967,111011010101110011110110110011
1,0.4037815068534094,0.5361176251709233,0.8596994129267967,111011010101110011110110110011
2,0.4037807919619894,0.5361176163389321,0.8596994129267967,111011010101110011110110110011
3,0.40381927390457584,0.5596783019400474,0.8596994129267967,111011010101110011110110110011
4,0.42009352753053414,0.6335914168881243,0.8596994129267967,111011010101110011110110110011
5,0.42009352753053414,0.6098724809255935,0.8596994129267967,111011010101110011110110110011
6,0.42009352753053414,0.5634587489874245,0.8596994129267967,111011010101110011110110110011
7,0.2842387526357332,0.5663689790231444,0.8596994129267967,111011010101110011110110110011
8,0.42009352753053414,0.6092881167506394,0.8596994129267967,111011010101110011110110110011
9,0.42009352873780054,0.6596859161591462,0.8596994129267967,111011010101110011110110110011
10,0.42009352753053414,0.6462968855110243,0.8596994129267967,111011010101110011110110110011
11,0.6059826188648828,0.6828464277126167,0.8596994129267967,111011010101110011110110110011
12,0.6059826203148568,0.6703525715230578,0.8596994129267967,111011010101110011110110110011
13,0.6059826203148568,0.6703525815078508,0.8596994129267967,111011010101110011110110110011
14,0.6059707421861744,0.6696372272440861,0.8596994129267967,111011010101110011110110110011
15,0.6059826174149088,0.671243059875265,0.8596994129267967,111011010101110011110110110011
16,0.6059826174149088,0.6688795906561733,0.8596994129267967,111011010101110011110110110011
17,0.6059826203148568,0.6688794751080646,0.8596994129267967,111011010101110011110110110011
18,0.6059826203148568,0.6823884778305178,0.8596994129267967,111011010101110011110110110011
19,0.6059826203148568,0.6813974971349163,0.8596994129267967,111011010101110011110110110011
