gen,min,avg,max,mejor_cromosoma
0,0.0007157234081133062,0.2850144591956072,0.8275660132264472,111010001110001010000111010101
1,0.09638157687145024,0.45633010257477735,0.8275660132264472,111010001110001010000111010101
2,0.2880689030065685,0.5551656850387399,0.8275713185907768,111010001110001010111000010000
3,0.4694414952208261,0.7303808706322137,0.8275713185907768,111010001110001010111000010000
4,0.6286670421678633,0.8076731588780038,0.8275713185907768,111010001110001010111000010000
5,0.8275660132264472,0.8275697276592622,0.8275713185907768,111010001110001010111000010000
6,0.006656025510202343,0.5838513122568914,0.8490245965576549,111010111110001010000111011001
7,0.8275660115319866,0.8340062409079749,0.8490245965576549,111010111110001010000111011001
8,0.8275660132264472,0.836151568695931,0.8490245965576549,111010111110001010000111011001
9,0.8275658963086767,0.8404416951172138,0.8490245965576549,111010111110001010000111011001
10,0.7744043351055298,0.8201562808710186,0.8490245965576549,111010111110001010000111011001
11,0.7717162917869259,0.824505359294778,0.8490245965576549,111010111110001010000111011001
12,0.7744043351055298,0.834053836632013,0.8491933229524893,111010111110100010000111011001
13,0.7924120773123163,0.8433802172726045,0.8491933229524893,111010111110100010000111011001
14,0.7924120773123163,0.8391985411863528,0.8634829021508081,111011011110001010000111011001
15,0.7924120773123163,0.8448597931108868,0.8634829021508081,111011011110001010000111011001
16,0.7924120773123163,0.8463224963096854,0.8634829021508081,111011011110001010000111011001
17,0.7924120773123163,0.8491466668703824,0.8634829021508081,111011011110001010000111011001
18,0.8490245965576549,0.8562537493542315,0.8634829021508081,111011011110001010000111011001
19,0.8282324702198832,0.8556203812981209,0.863482929844253,111011011110001010000111101001
