gen,ind,fit,avg,max,min
0,1,0.6666010465068815,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,2,0.6428868725972718,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,3,0.01045702630200939,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,4,0.6937120973170844,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,5,0.0031320737065666775,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,6,0.771808477930265,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,7,0.02915183788635398,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,8,0.10590221028867877,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,9,0.09023607674094136,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,10,0.18681140506138685,0.32006991243374394,0.771808477930265,0.0031320737065666775
1,1,0.771808477930265,0.3464418524951355,0.771808477930265,0.02915291250727257
1,2,0.6937120973170844,0.3464418524951355,0.771808477930265,0.02915291250727257
1,3,0.6666010465068815,0.3464418524951355,0.771808477930265,0.02915291250727257
1,4,0.6428868725972718,0.3464418524951355,0.771808477930265,0.02915291250727257
1,5,0.02915291250727257,0.3464418524951355,0.771808477930265,0.02915291250727257
1,6,0.1868086847511844,0.3464418524951355,0.771808477930265,0.02915291250727257
1,7,0.09023607506236354,0.3464418524951355,0.771808477930265,0.02915291250727257
1,8,0.10590221210713936,0.3464418524951355,0.771808477930265,0.02915291250727257
1,9,0.08964296447372015,0.3464418524951355,0.771808477930265,0.02915291250727257
1,10,0.18766718169817195,0.3464418524951355,0.771808477930265,0.02915291250727257
2,1,0.771808477930265,0.34473031173742213,0.771808477930265,0.02915291250727257
2,2,0.6937120973170844,0.34473031173742213,0.771808477930265,0.02915291250727257
2,3,0.6666010465068815,0.34473031173742213,0.771808477930265,0.02915291250727257
2,4,0.6428868725972718,0.34473031173742213,0.771808477930265,0.02915291250727257
2,5,0.09023596875246649,0.34473031173742213,0.771808477930265,0.02915291250727257
2,6,0.1868088377127596,0.34473031173742213,0.771808477930265,0.02915291250727257
2,7,0.18681140506138685,0.34473031173742213,0.771808477930265,0.02915291250727257
2,8,0.0896410800691857,0.34473031173742213,0.771808477930265,0.02915291250727257
2,9,0.08964441891964735,0.34473031173742213,0.771808477930265,0.02915291250727257
2,10,0.02915291250727257,0.34473031173742213,0.771808477930265,0.02915291250727257
3,1,0.771808477930265,0.37010123941315154,0.771808477930265,0.09023596763341528
3,2,0.6937120973170844,0.37010123941315154,0.771808477930265,0.09023596763341528
3,3,0.6666010465068815,0.37010123941315154,0.771808477930265,0.09023596763341528
3,4,0.6428868725972718,0.37010123941315154,0.771808477930265,0.09023596763341528
3,5,0.1809592248034914,0.37010123941315154,0.771808477930265,0.09023596763341528
3,6,0.09438219259470508,0.37010123941315154,0.771808477930265,0.09023596763341528
3,7,0.09023596763341528,0.37010123941315154,0.771808477930265,0.09023596763341528
