gen,ind,fit,avg,max,min
0,1,0.6666010465068815,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,2,0.6428868725972718,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,3,0.01045702630200939,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,4,0.6937120973170844,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,5,0.0031320737065666775,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,6,0.771808477930265,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,7,0.02915183788635398,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,8,0.10590221028867877,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,9,0.09023607674094136,0.32006991243374394,0.771808477930265,0.0031320737065666775
0,10,0.18681140506138685,0.32006991243374394,0.771808477930265,0.0031320737065666775
1,1,0.666601044986113,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,2,0.6428868740907449,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,3,0.6658989390448549,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,4,0.7725643461044266,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,5,0.666601044986113,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,6,0.6428868740907449,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,7,0.6666010465068815,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,8,0.771808477930265,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,9,0.6658989375248875,0.6963477658829855,0.8017300735648234,0.6428868740907449
1,10,0.8017300735648234,0.6963477658829855,0.8017300735648234,0.6428868740907449
2,1,0.7725643493787944,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,2,0.8017300702292215,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,3,0.6666012442068072,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,4,0.8017298567507162,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,5,0.6658989375248875,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,6,0.6658989375248875,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,7,0.771808477930265,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,8,0.771808477930265,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,9,0.6658989390448549,0.7355747768450964,0.8017300702292215,0.6658989375248875
2,10,0.771808477930265,0.7355747768450964,0.8017300702292215,0.6658989375248875
3,1,0.771808477930265,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,2,0.6658989390448549,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,3,0.6666012442068072,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,4,0.6666012442068072,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,5,0.6658989390448549,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,6,0.771808477930265,0.7220565396365641,0.8017300702292215,0.6658989390448549
