gen,ind,fit,avg,max,min,mejor
0,1,0.3524692836570244,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,2,0.17287747765401615,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,3,0.4686782476850722,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,4,0.9483300339934435,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,5,0.31873070604567494,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,6,0.7316153739739816,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,7,0.39479178606566484,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,8,0.26918173830683967,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,9,0.9160599100569449,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
0,10,0.11812622622956066,0.46908607836682226,0.9483300339934435,0.11812622622956066,111110010100110001101100011101
1,1,0.9483300339934435,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,2,0.9160599100569449,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,3,0.9160599100569449,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,4,0.31873070604567494,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,5,0.9181422251160037,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,6,0.9462137440539687,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,7,0.3201574626808018,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,8,0.39320725640118487,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,9,0.7316153739739816,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
1,10,0.31873070604567494,0.6727247328424624,0.9483300339934435,0.31873070604567494,111110010100110001101100011101
2,1,0.9483300339934435,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,2,0.9462137440539687,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,3,0.39320725640118487,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,4,0.9181422251160037,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,5,0.9181422251160037,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,6,0.9462137440539687,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,7,0.9160599100569449,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,8,0.9160599100569449,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,9,0.9181641423661923,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
2,10,0.916038017936095,0.873657120915075,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,1,0.9483300339934435,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,2,0.9462137440539687,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,3,0.9181422251160037,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,4,0.9483300339934435,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,5,0.39320725640118487,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,6,0.9160599100569449,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,7,0.7692384579687438,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,8,0.4999886424280224,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,9,0.39397330810004566,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
3,10,0.39320725640118487,0.7126690868512986,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,1,0.9483300339934435,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,2,0.9483300339934435,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,3,0.9160599100569449,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,4,0.9483300339934435,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,5,0.39320725640118487,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,6,0.9160599100569449,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,7,0.9462138636367643,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,8,0.3938173893879163,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,9,0.9424767211166051,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
4,10,0.7745273994924471,0.8127352552129137,0.9483300339934435,0.39320725640118487,111110010100110001101100011101
5,1,0.9483300339934435,0.8650204375851143,0.9483300339934435,0.3938173893879163,111110010100110001101100011101
5,2,0.9483300339934435,0.8650204375851143,0.9483300339934435,0.3938173893879163,111110010100110001101100011101
5,3,0.9483300194823593,0.8650204375851143,0.9483300339934435,0.3938173893879163,111110010100110001101100011101
5,4,0.9160599243189981,0.8650204375851143,0.9483300339934435,0.3938173893879163,111110010100110001101100011101
